[2022-06-23 09:30:03:0585] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:30:03:0586] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:30:03:0587] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:30:03:0587] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:30:03:0587] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:30:03:0720] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:30:03:0720] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:30:03:0720] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:30:03:0720] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:30:03:0720] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-06-23 09:30:03:0781] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-06-23 09:30:03:0781] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280159].
[2022-06-23 09:30:03:0781] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280159] Model[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[].
[2022-06-23 09:30:03:0781] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-06-23 09:30:04:0027] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-06-23 09:30:04:0027] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-06-23 09:30:04:0029] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-06-23 09:30:04:0031] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-06-23 09:30:04:0033] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-06-23 09:30:04:0033] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-06-23 09:30:04:0034] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:30:04:0034] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-06-23 09:30:04:0035] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-06-23 09:30:04:0036] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:30:04:0036] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-06-23 09:30:04:0037] | Info     | Manager.cpp              -L1482: [Start] begin.
[2022-06-23 09:34:00:0332] | Info     | Manager.cpp              -L1655: ---------------------Start call Mv3dRgbd.dll start--------------------
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1659: Build Time[220615_14:20:53], SDK version[0x1000003].
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1661: Mv3dRgbd.dll path [C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbd.dll]
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1662: Current ExE path [E:\Mv3dRgbdSDK\Sample\Open3D\bin\win64\debug\Open3D.exe]
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1667: Config (C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini) exist .
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1674: DebugMode[0], nLogSize[100].
[2022-06-23 09:34:00:0333] | Info     | Manager.cpp              -L1082: [Init] Begin.
[2022-06-23 09:34:00:0334] | Info     | Manager.cpp              -L1115: [Init] end success.
[2022-06-23 09:34:00:0334] | Info     | Manager.cpp              -L0465: [BindDevBySomeWay] start. chParm[00K14280159].
[2022-06-23 09:34:00:0334] | Info     | CameraModule.cpp         -L0085: [Enum] begin.
[2022-06-23 09:34:00:0468] | Info     | CameraModule.cpp         -L0102: [Enum] enum by gige sdk, get camera num:[1].
[2022-06-23 09:34:00:0468] | Info     | CameraModule.cpp         -L0105: [Enum] end success.
[2022-06-23 09:34:00:0468] | Info     | Manager.cpp              -L0569: [CompareBindParm] param bFind[1]  nFindNum[0] .
[2022-06-23 09:34:00:0468] | Info     | Manager.cpp              -L1042: [CreateHandle] begin.
[2022-06-23 09:34:00:0468] | Info     | CameraModule.cpp         -L0156: [CreateHandle] Get Gige Sdk version:(0x4000004).
[2022-06-23 09:34:00:0517] | Info     | Manager.cpp              -L1075: [CreateHandle] end success.
[2022-06-23 09:34:00:0517] | Info     | Manager.cpp              -L0494: [BindDevBySomeWay] end. chParm[00K14280159].
[2022-06-23 09:34:00:0517] | Info     | Manager.cpp              -L0382: [BindDevice] bind device SN[00K14280159] Model[MV-EB435i] ip[2bdf00K14280159] SubNetmask[] gateway[].
[2022-06-23 09:34:00:0517] | Info     | Manager.cpp              -L0933: [ConnectDevice] begin.
[2022-06-23 09:34:00:0752] | Info     | Manager.cpp              -L0978: [ConnectDevice] Get BufferNode count from C:\Program Files (x86)\Common Files\Mv3dRgbdSDK\Runtime\Win64_x64\Mv3dRgbdCfg.ini\BufferNode, value[5].
[2022-06-23 09:34:00:0752] | Info     | Manager.cpp              -L0986: [ConnectDevice] SetImageNodeNum value[5].
[2022-06-23 09:34:00:0753] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(CameraWorkingMode) nValue(4).
[2022-06-23 09:34:00:0754] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ImageMode) nValue(2).
[2022-06-23 09:34:00:0756] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkModeActive) bValue(1).
[2022-06-23 09:34:00:0756] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(24).
[2022-06-23 09:34:00:0757] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:34:00:0757] | Error    | Manager.cpp              -L0898: m_nDeviceType:00000004.
[2022-06-23 09:34:00:0758] | Info     | CameraModule.cpp         -L0945: camera module MV_CC_SetEnumValue:strKey(ChunkSelector) nValue(19).
[2022-06-23 09:34:00:0759] | Info     | CameraModule.cpp         -L0930: camera module MV_CC_SetBoolValue: strKey(ChunkEnable) bValue(1).
[2022-06-23 09:34:00:0759] | Info     | Manager.cpp              -L1035: [ConnectDevice] end success.
[2022-06-23 09:34:00:0759] | Info     | Manager.cpp              -L1482: [Start] begin.
